id,title,organization,url,published_at,accessed_at,geography,supports,reliability,source_type,notes
S00,Итоговый бриф ЦРП,Пользователь / ЦРП,uploaded://Вставленный текст.txt,,2026-06-09,Санкт-Петербург и Ленинградская область,"Контекст проекта | Внутренние заявления | Воронка, ресурсы и ограничения",medium,internal,"Заявления не проверены по CRM, договорам и бухгалтерии."
S01,ЦРП — реализация интерьерных проектов в Санкт-Петербурге,ЦРП,https://crp-spb.pro/,,2026-06-09,Санкт-Петербург и Ленинградская область,"Публичный оффер | Перечень направлений | Заявления 2015, 100+ проектов, гарантия 2+",medium,company,"Источник подтверждает содержание публичных заявлений, а не их фактическое исполнение."
S02,Строительство в Санкт-Петербурге в 2025 году,Петростат,https://78.rosstat.gov.ru/storage/mediabank/24000326_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.pdf,2026,2026-06-09,Санкт-Петербург,Введено 60 842 квартиры в 2025 году | Объём жилищного ввода,high,official,Статистический бюллетень; число квартир использовано в bottom-up модели.
S03,Строительство в Ленинградской области в 2025 году,Петростат,https://78.rosstat.gov.ru/storage/mediabank/24000426_%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C.pdf,2026,2026-06-09,Ленинградская область,Введено 50 657 квартир в 2025 году | Объём жилищного ввода,high,official,Статистический бюллетень; число квартир использовано в bottom-up модели.
S04,"В Петербурге за 2025 год введено на 0,8% больше жилья, чем в 2024-м",Недвижимость и строительство Петербурга,https://nsp.ru/43389-v-peterburge-za-2025-god-vvedeno-lis-na-08-bolse-zilya-cem-v-2024-m,2026-02-02,2026-06-09,Санкт-Петербург и Ленинградская область,"2,69 млн м² введено в Петербурге | 4,22 млн м² введено в Ленобласти",medium,media,Вторичный пересказ данных Росстата.
S05,В России увеличили выпуск мебели на 17% за 2024 год,Лесной комплекс / данные АМДПР,https://forestcomplex.ru/manufacturing/v-rossii-uvelichili-vipusk-mebeli/,2025-03-02,2026-06-09,Россия,Производство мебели 522 млрд ₽ в 2024 году | Рост цен опережает натуральную динамику,medium,industry_media,Предварительные итоги отраслевой ассоциации.
S06,Падающий рынок мебели поддержала нежилая недвижимость,Фонтанка / данные Росстата и АМДПР,https://www.fontanka.ru/2026/03/11/76305549/,2026-03-11,2026-06-09,Россия,"В 2025 году выпуск бытовой мебели снизился на 3,3% | Офисная мебель выросла на 15,6%",medium,media,Показывает разнонаправленность жилого и коммерческого спроса.
S07,Nikoliers: предварительные итоги 2025 года — жилая недвижимость Санкт-Петербурга,Nikoliers,https://nikoliersdom.ru/analytics/nikoliers-predvaritelnye-itogi-2025-goda-residential,2025,2026-06-09,Санкт-Петербург,"37 тыс. реализованных лотов в 2025 году | Спрос снизился на 15,6% год к году | Поляризация спроса",high,consulting,Рыночная аналитика первичного жилья.
S08,"Рынок жилой недвижимости бизнес-класса Санкт-Петербурга, I полугодие 2025",NF GROUP,https://kf.expert/publish/Rynok-zhiloy-nedvizhimosti-biznes-klassa-Sankt-Peterburg-H1-2025,2025,2026-06-09,Санкт-Петербург,"1,5 тыс. лотов спроса бизнес-класса в I полугодии | Средневзвешенная цена 501 тыс. ₽/м²",high,consulting,Использовано как индикатор верхнего ценового сегмента.
S09,"Обзор рынка ипотечного жилищного кредитования, сентябрь 2025",Банк России,https://www.cbr.ru/statistics/bank_sector/mortgage/Indicator_mortgage/0925/,2025-10-30,2026-06-09,Россия,Невысокие темпы прироста ипотечного портфеля | Зависимость рынка от условий финансирования,high,official,Макроиндикатор спроса на жильё и последующую отделку.
S10,Численность населения России на 1 января 2025 года,Росстат / РБК,https://www.rbc.ru/society/31/01/2025/679ceb1f9a794739d6fa3ad1,2025-01-31,2026-06-09,Россия,"Население России 146,028 млн человек",high,official_relay,Использовано для top-down регионального коэффициента.
S11,Санкт-Петербург в цифрах: население на 1 января 2025 года,Петростат / НИПЦ Генплана / BN.ru,https://www.bn.ru/gazeta/news/284172/,2025-11-20,2026-06-09,Санкт-Петербург,"Население Петербурга 5,653 млн | Средняя площадь введённой квартиры 45,3 м² в 2024 году",medium,media,Пересказ официальной статистики.
S12,Социально-экономические показатели Ленинградской области,Комитет экономического развития Ленинградской области,https://econ.lenobl.ru/media/uploads/userfiles/2026/01/26/44.pdf,2026-01-26,2026-06-09,Ленинградская область,"Население Ленинградской области 2,0595 млн на 1 января 2025 года",high,official,Использовано для регионального коэффициента.
S13,Средняя зарплата в Петербурге в 2025 году,Петростат / Фонтанка,https://www.fontanka.ru/2026/03/11/76305422/,2026-03-11,2026-06-09,Санкт-Петербург,Средняя номинальная зарплата 121 475 ₽ в 2025 году,medium,media,"Средняя зарплата не описывает целевой премиальный сегмент, используется только как макроконтекст."
S14,О компании Арт-Компас,Арт-Компас,https://artkompas.pro/company,,2026-06-09,Санкт-Петербург,"Комплектация жилых и нежилых интерьеров | Фокус на МОП, ЖК, отели и бизнес-центры",medium,company,Маркетинговые заявления конкурента.
S15,Комплектация интерьера,ARCA Design,https://arcadesign.ru/komplektaciya,,2026-06-09,Санкт-Петербург / международно,Комиссия от 8% от комплектации | Скидки поставщиков 10–45% | Комплектация мебелью и изделиями,medium,company,Публичная ценовая модель конкурента.
S16,Комплектация интерьера под ключ,A-Interio,https://a-interio.com/kompliektatsiia_intierierov,,2026-06-09,Россия,До 12 категорий в одной точке | Обещание единого окна и принятия рисков,medium,company,"Прямой аналог по коммуникационной модели, географию исполнения требуется уточнять."
S17,Корпусная мебель на заказ,Технология Мебели,https://technology-mebel.ru/,,2026-06-09,Санкт-Петербург и Ленинградская область,Собственное производство | Срок от 21 дня | Гарантия 24 месяца | Бесплатный замер и дизайн-проект,medium,company,Узкий заменитель; сильная ценовая и производственная конкретика.
S18,Отзывы о комплектации интерьера,TB.Design,https://tbdesign.pro/reviews,,2026-06-09,Россия / Санкт-Петербург в кейсах,Доказательство ценности менеджера комплектации | Проверка поставщиков и рекламаций | Снижение участия заказчика,low,company_review,Отзывы размещены на сайте компании и не являются независимым подтверждением.
S19,Комплектация дизайн-проекта интерьера,I AM DESIGN,https://iamdes.ru/komplektacia,,2026-06-09,Санкт-Петербург и Москва,Цена 3 000 ₽/м² за спецификацию | Организация закупок не входит,medium,company,Показывает границу между подбором и полным управлением реализацией.
S20,ТР ТС 025/2012 «О безопасности мебельной продукции»,Евразийская экономическая комиссия,https://eec.eaeunion.org/comission/department/deptexreg/tr/bezopMebelProd.php,2012,2026-06-09,ЕАЭС,Обязательные требования безопасности мебельной продукции,high,regulation,Регламент действует с 1 июля 2014 года.
S21,Советы потребителям при заказе мебели,Роспотребнадзор,https://zpp.rospotrebnadzor.ru/news/regional/571316,2026-02-13,2026-06-09,Россия,Для изготовления мебели важна квалификация договора как подряда | Риски сроков и недостатков,high,official,Практическое значение для договорной модели B2C.
S22,Design&Decor — профессиональная выставка для дизайнеров,MVK / Design&Decor,https://www.designdecor-expo.ru/ru-RU/,2026,2026-06-09,Санкт-Петербург,"Профильная площадка дизайнеров, архитекторов и поставщиков | Мероприятие 14–16 апреля 2026",high,event,Канал партнёрств и лидогенерации.
S23,Российские дни дизайна и архитектуры — Санкт-Петербург 2026,РДДА,https://forumdesign.ru/saint-petersburg,2026,2026-06-09,Санкт-Петербург,"Профильная выставка 23–25 сентября 2026 | Концентрация дизайнеров, архитекторов и декораторов",high,event,Канал офлайн-активаций и партнёрств.
S24,DAA ROOM — пространство для дизайнеров и архитекторов,Design District DAA,https://daashopping.ru/daaroom,,2026-06-09,Санкт-Петербург,"Коворкинг, лекции, воркшопы и коллаборации с производителями",high,event_space,Подходит для камерных технических мероприятий ЦРП.
S25,Стоимость капитального ремонта квартиры в 2025 году,Петрович.Знает,https://znaet.petrovich.ru/dizayn/planirovanie/byudzhet/obzor/skolko-stoit-remont-kvartiry/,2025-10-07,2026-06-09,Россия,Ориентир 18–60 тыс. ₽/м² и выше | Оценки ремонта под ключ с материалами 60–80 тыс. ₽/м²,medium,industry_content,Коммерческий источник; используется только для проверки порядка величин.
S26,Авторский надзор и комплектация,ARCA Design,https://arcadesign.ru/avtorskij-nadzor,,2026-06-09,Санкт-Петербург,Связь комплектации с графиками закупок и авторским надзором,medium,company,Маркетинговое описание процесса конкурента.
